문서ID,유형,버전,항목ID,항목명,정답상태,정답값,원문값,원문시작,원문끝,원문발췌,사유
D04-14,모호표현,clean,need_date,희망일,모호,,ASAP,58,62,ASAP,모호 표현 'ASAP' → 날짜로 단정하지 않음
D04-14,모호표현,clean,delivery_location,배송 위치,충족,B현장 1동 1층 야적장,B현장 1동 1층 야적장,68,81,B현장 1동 1층 야적장,현장명 + 세부 위치
D04-14,모호표현,clean,spec,규격,충족,50A,50A,38,41,50A,규격 원문 존재
D04-14S,모호표현,scan,item_id,품목 ID,충족,P-07,P-07,30,34,P-07,품목 ID 원문 존재
D04-14S,모호표현,scan,qty,수량,모호,,lS,42,44,lS,판독 불가(스캔 손상)
D04-14S,모호표현,scan,unit,단위,충족,개,개,45,46,개,표준 단위와 일치
D04-14S,모호표현,scan,need_date,희망일,모호,,ASAP,53,57,ASAP,모호 표현 'ASAP' → 날짜로 단정하지 않음
D04-14S,모호표현,scan,delivery_location,배송 위치,충족,B현장 1동 1층 야적장,B현장 1동 1층 야적장,62,75,B현장 1동 1층 야적장,현장명 + 세부 위치
D04-14S,모호표현,scan,spec,규격,충족,50A,50A,35,38,50A,규격 원문 존재
D04-15,모호표현,clean,item_id,품목 ID,모호,,엘보,32,34,엘보,"별칭만 있음 → 표준명 후보(P-07, P-08) 사람 확정"
D04-15,모호표현,clean,qty,수량,충족,20,20,39,41,20,양의 정수
D04-15,모호표현,clean,unit,단위,충족,개,개,41,42,개,표준 단위와 일치
D04-15,모호표현,clean,need_date,희망일,모호,,이번 달 안,59,65,이번 달 안,모호 표현 '이번 달 안' → 날짜로 단정하지 않음
D04-15,모호표현,clean,delivery_location,배송 위치,충족,C현장 정문 게이트 하치장,C현장 정문 게이트 하치장,76,90,C현장 정문 게이트 하치장,현장명 + 세부 위치
D04-15,모호표현,clean,spec,규격,충족,50A,50A,35,38,50A,규격 원문 존재
D04-15S,모호표현,scan,item_id,품목 ID,모호,,엘보,29,31,엘보,"별칭만 있음 → 표준명 후보(P-07, P-08) 사람 확정"
D04-15S,모호표현,scan,qty,수량,충족,20,20,36,38,20,양의 정수
D04-15S,모호표현,scan,unit,단위,충족,개,개,38,39,개,표준 단위와 일치
D04-15S,모호표현,scan,need_date,희망일,모호,,이번 달 안,55,61,이번 달 안,모호 표현 '이번 달 안' → 날짜로 단정하지 않음
D04-15S,모호표현,scan,delivery_location,배송 위치,충족,C현장 정문 게이트 하치장,C현장 정문 게이트 하치장,71,85,C현장 정문 게이트 하치장,현장명 + 세부 위치
D04-15S,모호표현,scan,spec,규격,모호,,SOA,32,35,SOA,판독 불가(스캔 손상)
D04-16,모호표현,clean,item_id,품목 ID,충족,P-05,P-05,58,62,P-05,품목 ID 원문 존재
D04-16,모호표현,clean,qty,수량,충족,30,30,75,77,30,양의 정수
D04-16,모호표현,clean,unit,단위,충족,본,본,77,78,본,표준 단위와 일치
D04-16,모호표현,clean,need_date,희망일,모호,,빨리,88,90,빨리,모호 표현 '빨리' → 날짜로 단정하지 않음
D04-16,모호표현,clean,delivery_location,배송 위치,충족,A현장 2동 옥상 기계실,A현장 2동 옥상 기계실,100,113,A현장 2동 옥상 기계실,현장명 + 세부 위치
D04-16,모호표현,clean,spec,규격,충족,50A,50A,65,68,50A,규격 원문 존재
D04-16S,모호표현,scan,item_id,품목 ID,충족,P-05,P-05,53,57,P-05,품목 ID 원문 존재
D04-16S,모호표현,scan,qty,수량,모호,,3O,69,71,3O,판독 불가(스캔 손상)
D04-16S,모호표현,scan,unit,단위,충족,본,본,71,72,본,표준 단위와 일치
D04-16S,모호표현,scan,need_date,희망일,모호,,빨리,81,83,빨리,모호 표현 '빨리' → 날짜로 단정하지 않음
D04-16S,모호표현,scan,delivery_location,배송 위치,충족,A현장 2동 옥상 기계실,A현장 2동 옥상 기계실,92,105,A현장 2동 옥상 기계실,현장명 + 세부 위치
D04-16S,모호표현,scan,spec,규격,충족,50A,50A,60,63,50A,규격 원문 존재
D04-17,모호표현,clean,item_id,품목 ID,충족,P-10,P-10,11,15,P-10,품목 ID 원문 존재
D04-17,모호표현,clean,qty,수량,충족,6,6,21,22,6,양의 정수
D04-17,모호표현,clean,unit,단위,충족,롤,롤,22,23,롤,표준 단위와 일치
D04-17,모호표현,clean,need_date,희망일,모호,,내주 초,24,28,내주 초,모호 표현 '내주 초' → 날짜로 단정하지 않음
D04-17,모호표현,clean,delivery_location,배송 위치,충족,B현장 동측 게이트 자재창고,B현장 동측 게이트 자재창고,31,46,B현장 동측 게이트 자재창고,현장명 + 세부 위치
D04-17,모호표현,clean,spec,규격,충족,12mm,12mm,16,20,12mm,규격 원문 존재
D04-17S,모호표현,scan,item_id,품목 ID,충족,P-10,P-10,11,15,P-10,품목 ID 원문 존재
D04-17S,모호표현,scan,qty,수량,충족,6,6,21,22,6,양의 정수
D04-17S,모호표현,scan,unit,단위,충족,롤,롤,22,23,롤,표준 단위와 일치
D04-17S,모호표현,scan,need_date,희망일,모호,,내주 초,24,28,내주 초,모호 표현 '내주 초' → 날짜로 단정하지 않음
D04-17S,모호표현,scan,delivery_location,배송 위치,충족,B현장 동측 게이트 자재창고,B현장 동측 게이트 자재창고,31,46,B현장 동측 게이트 자재창고,현장명 + 세부 위치
D04-17S,모호표현,scan,spec,규격,모호,,l2mm,16,20,l2mm,판독 불가(스캔 손상)
D04-18,모호표현,clean,item_id,품목 ID,모호,,백관,32,34,백관,별칭만 있음 → 표준명 후보(P-06) 사람 확정
D04-18,모호표현,clean,qty,수량,충족,10,10,40,42,10,양의 정수
D04-18,모호표현,clean,unit,단위,충족,본,본,42,43,본,표준 단위와 일치
D04-18,모호표현,clean,need_date,희망일,모호,,급합니다,60,64,급합니다,모호 표현 '급합니다' → 날짜로 단정하지 않음
D04-18,모호표현,clean,delivery_location,배송 위치,충족,C현장 1동 1층 야적장,C현장 1동 1층 야적장,75,88,C현장 1동 1층 야적장,현장명 + 세부 위치
D04-18,모호표현,clean,spec,규격,충족,100A,100A,35,39,100A,규격 원문 존재
D04-18S,모호표현,scan,item_id,품목 ID,모호,,백관,29,31,백관,별칭만 있음 → 표준명 후보(P-06) 사람 확정
D04-18S,모호표현,scan,qty,수량,모호,,lO,37,39,lO,판독 불가(스캔 손상)
D04-18S,모호표현,scan,unit,단위,충족,본,본,39,40,본,표준 단위와 일치
D04-18S,모호표현,scan,need_date,희망일,모호,,급합니다,56,60,급합니다,모호 표현 '급합니다' → 날짜로 단정하지 않음
D04-18S,모호표현,scan,delivery_location,배송 위치,충족,C현장 1동 1층 야적장,C현장 1동 1층 야적장,70,83,C현장 1동 1층 야적장,현장명 + 세부 위치
D04-18S,모호표현,scan,spec,규격,충족,100A,100A,32,36,100A,규격 원문 존재
D04-19,단위불일치,clean,item_id,품목 ID,충족,P-03,P-03,33,37,P-03,품목 ID 원문 존재
D04-19,단위불일치,clean,qty,수량,충족,40,40,46,48,40,양의 정수
D04-19,단위불일치,clean,unit,단위,불일치,,m,49,50,m,표준 단위 '본'와 다름
D04-19,단위불일치,clean,need_date,희망일,충족,2026-09-27,2026-09-27,58,68,2026-09-27,특정 날짜
D04-19,단위불일치,clean,delivery_location,배송 위치,충족,A현장 3동 지하1층 자재창고,A현장 3동 지하1층 자재창고,74,90,A현장 3동 지하1층 자재창고,현장명 + 세부 위치
D04-19,단위불일치,clean,spec,규격,충족,50A,50A,38,41,50A,규격 원문 존재
D04-19S,단위불일치,scan,item_id,품목 ID,충족,P-03,P-03,30,34,P-03,품목 ID 원문 존재
D04-19S,단위불일치,scan,qty,수량,모호,,4O,42,44,4O,판독 불가(스캔 손상)
D04-19S,단위불일치,scan,unit,단위,불일치,,m,45,46,m,표준 단위 '본'와 다름
D04-19S,단위불일치,scan,need_date,희망일,충족,2026-09-27,2026-09-27,53,63,2026-09-27,특정 날짜
D04-19S,단위불일치,scan,delivery_location,배송 위치,충족,A현장 3동 지하1층 자재창고,A현장 3동 지하1층 자재창고,68,84,A현장 3동 지하1층 자재창고,현장명 + 세부 위치
D04-19S,단위불일치,scan,spec,규격,충족,50A,50A,35,38,50A,규격 원문 존재
D04-20,단위불일치,clean,item_id,품목 ID,충족,P-09,P-09,32,36,P-09,품목 ID 원문 존재
D04-20,단위불일치,clean,qty,수량,충족,30,30,41,43,30,양의 정수
D04-20,단위불일치,clean,unit,단위,불일치,,개,43,44,개,표준 단위 'm'와 다름
D04-20,단위불일치,clean,need_date,희망일,충족,9월 29일,9월 29일,61,67,9월 29일,특정 날짜
D04-20,단위불일치,clean,delivery_location,배송 위치,충족,B현장 1동 1층 야적장,B현장 1동 1층 야적장,78,91,B현장 1동 1층 야적장,현장명 + 세부 위치
D04-20,단위불일치,clean,spec,규격,충족,50A,50A,37,40,50A,규격 원문 존재
D04-20S,단위불일치,scan,item_id,품목 ID,충족,P-09,P-09,29,33,P-09,품목 ID 원문 존재
D04-20S,단위불일치,scan,qty,수량,충족,30,30,38,40,30,양의 정수
D04-20S,단위불일치,scan,unit,단위,불일치,,개,40,41,개,표준 단위 'm'와 다름
D04-20S,단위불일치,scan,need_date,희망일,충족,9월 29일,9월 29일,57,63,9월 29일,특정 날짜
D04-20S,단위불일치,scan,delivery_location,배송 위치,충족,B현장 1동 1층 야적장,B현장 1동 1층 야적장,73,86,B현장 1동 1층 야적장,현장명 + 세부 위치
D04-20S,단위불일치,scan,spec,규격,모호,,SOA,34,37,SOA,판독 불가(스캔 손상)
D04-21,단위불일치,clean,item_id,품목 ID,충족,P-10,P-10,58,62,P-10,품목 ID 원문 존재
D04-21,단위불일치,clean,qty,수량,충족,5,5,76,77,5,양의 정수
D04-21,단위불일치,clean,unit,단위,불일치,,개,77,78,개,표준 단위 '롤'와 다름
D04-21,단위불일치,clean,need_date,희망일,충족,9/30,9/30,88,92,9/30,특정 날짜
D04-21,단위불일치,clean,delivery_location,배송 위치,충족,C현장 정문 게이트 하치장,C현장 정문 게이트 하치장,102,116,C현장 정문 게이트 하치장,현장명 + 세부 위치
D04-21,단위불일치,clean,spec,규격,충족,12mm,12mm,65,69,12mm,규격 원문 존재
D04-21S,단위불일치,scan,item_id,품목 ID,충족,P-10,P-10,53,57,P-10,품목 ID 원문 존재
D04-21S,단위불일치,scan,qty,수량,충족,5,5,70,71,5,양의 정수
D04-21S,단위불일치,scan,unit,단위,불일치,,개,71,72,개,표준 단위 '롤'와 다름
D04-21S,단위불일치,scan,need_date,희망일,충족,9/30,9/30,81,85,9/30,특정 날짜
D04-21S,단위불일치,scan,delivery_location,배송 위치,충족,C현장 정문 게이트 하치장,C현장 정문 게이트 하치장,94,108,C현장 정문 게이트 하치장,현장명 + 세부 위치
D04-21S,단위불일치,scan,spec,규격,모호,,l2mm,60,64,l2mm,판독 불가(스캔 손상)
D04-22,단위불일치,clean,item_id,품목 ID,충족,P-01,P-01,11,15,P-01,품목 ID 원문 존재
D04-22,단위불일치,clean,qty,수량,충족,20,20,20,22,20,양의 정수
D04-22,단위불일치,clean,unit,단위,불일치,,본,22,23,본,표준 단위 '개'와 다름
D04-22,단위불일치,clean,need_date,희망일,충족,2026-09-28,2026-09-28,24,34,2026-09-28,특정 날짜
D04-22,단위불일치,clean,delivery_location,배송 위치,충족,A현장 2동 옥상 기계실,A현장 2동 옥상 기계실,37,50,A현장 2동 옥상 기계실,현장명 + 세부 위치
D04-22,단위불일치,clean,spec,규격,충족,50A,50A,16,19,50A,규격 원문 존재
